name;price;display_size;display_tech;back_cam;front_cam;CPU;NFC;RAM;storage_cap;battery;SIM;resolution;screen_func;os;Loại CPU;size;weight;material;refresh_rate;GPU;external_storage;waterproof;max_charging;security;external_stoage
google pixel 4 xl;0.0;6.3 inches;OLED;"Camera góc rộng: 12,2 MP, f/1.7, 27mm, 1 / 2.55 "", 1.4µm, PDAF pixel kép, OIS  Camera tele";;;;;;;;;;;;;;;;;;;;;
oppo k11;0.0;6.7 inches;AMOLED;50 MP + 8 MP + 2 MP;16 MP;Snapdragon 782G;Có;8 GB;256 GB;4870 mAh;;;Tần số quét 120 Hz;;;;;;;;;;;;
samsung a26;0.0;;;;;;;8 GB;256 GB;;;;;;;;;;;;;;;;
oppo a2 pro;0.0;6.7 inches;AMOLED;Camera chính: 64 MP, ƒ/1.7, hỗ trợ lấy nét tự động AFCamera chân dung: 2 MP, ƒ/2.4;8 MP, ƒ/2.0;MediaTek Dimensity 7050;Có;8 GB;256 GB;5000 mAh;2 SIM (Nano-SIM);2412 x 1080 pixels;1,07 tỷ màu, hỗ trợ gam màu rộng (P3), 950 nits, tốc độ làm mới 120Hz;Android 13;;;;;;;;;;;
tecno spark 50;0.0;;;;;;;4 GB;128 GB;;;;;;;;;;;;;;;;
vivo s17;0.0;6.78 inches;AMOLED;50 MP, f/1.88  Ống kính góc siêu rộng: 8 MP, f/2.2;50 MP, f/2.0;Snapdragon 778G+;Có;8 GB;256 GB;4600 mAh;2 SIM (Nano-SIM);;1,07 tỷ màu, gam màu 100% DCI-P3, tần số quét 120Hz, 452PPI, 105%NTSC;Android 13;2.5GHz*1+2.4GHz*3+1.8GHz*4;;;;;;;;;;
samsung galaxy c55;0.0;6.7 inches;Super AMOLED;Camera chính: 50 MP, f/1.8Camera góc siêu rộng;;;;;;;;;;;;;;;;;;;;;
vivo y71;0.0;6.22 inches;IPS LCD;13 MP;5 MP;Snapdragon 425 4 nhân;Không;3 GB;16 GB;3360 mAh;2 SIM (Nano-SIM);720 x 1440 pixels;Mặt kính cong 2.5D;;;;;;;;;;;;
vivo y97;0.0;6.3 inches;;Camera chính 16 MP & Phụ 2 MP;16 MP;MediaTek Helio P60 8 nhân;Không;4 GB;128 GB;3240 mAh;2 SIM (Nano-SIM);1080 x 2280 pixels (FullHD+);Mặt kính cong 2.5D;;;;;;;;;;;;
vivo x100;0.0;6.7 inches;AMOLED;50 MP + 50 MP + 50 MP;32 MP;Snapdragon 8+ Gen 1;Có;12 GB;256 GB;5.000 mAh;;;Tần số quét màn hình 144 Hz.;;;;;;;;;;;;
infinix hot 20 play;0.0;6.82 inches;TFT LCD;13MP,  f/1.8;8MP;Mediatek MT6765 Helio G37;Không;4GB + Mở rộng 3GB;128 GB;6000 mAh;2 SIM (Nano-SIM);720 x 1640 pixels;Tần số quét 90Hz;Android™ 12;;;;;;;;;;;
vivo y27s;0.0;6.64 inches;IPS LCD;50 MP, f/1.8  2 MP,f/2.4;8 MP, f/2.0;;Không;8 GB;256 GB;5000 mAh;2 SIM (Nano-SIM);1080 x 2388 pixels;Tần số quét 90 Hz, 650 nits, 100% P3, 99% NTSC;Android 13;4 × 2.4 GHz + 4 × 1.9 GHz;;;;;;;;;;
vivo s19 pro;0.0;6.78 inches;OLED;50MP với OISỐng kính góc cực rộng 8MP Máy ảnh tele 50MP hỗ trợ OIS với tiêu cự 85mm, hỗ trợ zoom kỹ thuật số 50x.;50MP;Dimensity 9200+;Có;8 GB;256 GB;5000 mAh;;;Độ phân giải 1.5K, tốc độ làm mới 120Hz, 4500 nits;Android 14;;;;;;;;;;;
vivo v29;0.0;6.7 inches;OLED;64 MP;50 MP;Snapdragon 778G Plus;Có;12 GB;256 GB;5,000 mAh;;;Tốc độ làm mới 120Hz;Android 13;;;;;;;;;;;
xiaomi redmi note 12 pro+;0.0;6.66 inches;OLED;"Camera góc rộng: 200MP, f/1.7, 24mm, 1 / 1.4 "", 0.56µm, PDAF, OIS  Camera góc siêu rộng: 8MP, f/1.9, 119˚, 1/4"", 1.12µm  Camera Macro: 2MP, f/2.4";"Camera góc rộng: 16MP, 1 / 3.06 "", 1.0µm";Mật độ MediaTek 1080 (6 nm);Có;8 GB;256 GB;5.000 mAh;2 SIM (Nano-SIM);1080 x 2400 pixels (FullHD+);Tần số quét 120 Hz, 1B màu Dolby Vision, HDR10 +, 500 nits (typ), 900 nits (HBM);Android 12;2x2,6 GHz Cortex-A78 & 6x2,0 GHz Cortex-A55;;;;;;;;;;
vivo y67;0.0;5.5 inches;IPS LCD;13 MP, f/2.2, AF;"Camera góc rộng: 16 MP, f/2.0, 26mm, 1/3.06"", 1.0µm";Mediatek MT6750 (28 nm);Không;4 GB;32 GB;3000 mAh;2 SIM (Nano-SIM);720 x 1280 pixels;Corning Gorilla Glass 3;Android 6.0;4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53;;;;;;;;;;
lenovo legion y70;0.0;6.66 inches;OLED;"Camera góc rộng: 50 MP, 1 / 1.55 "", 1.0µm, PDAF, OIS  Camera góc siêu rộng: 13 MP, 120˚, 1.12µm, AF  Camera góc sâu:  2 MP, f/2.4";16 MP;Qualcomm SM8475 Snapdragon 8+ thế hệ 1 (4 nm);Có;8 GB;128 GB;5100 mAh;2 SIM (Nano-SIM);1080 x 2400 pixels (FullHD+);144Hz, HDR10 +, 1000 nits;Android 12;1x3,19 GHz Cortex-X2 & 3x2,75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510;;;;;;;;;;
masstel hapi 30;0.0;6.26 inches;IPS LCD;8.0 MP AF;5.0 MP;Speadtrum SC9863A 8 Nhân 1.6GHz;Không;3 GB;32 GB;3000 mAh;;720 x 1520 pixels;16 triệu màu;Android 11;;;;;;;;;;;
vivo iqoo z7x;0.0;6.64 inches;IPS LCD;Camera góc rộng: 50 MP, f/1.8, PDAFCamera đo đọ sâu: 2 MP, f/2.4;Camera góc rộng: 8 MP, f/2.0;Snapdragon 695 5G (6 nm);Có;8 GB;128 GB;6000 mAh;2 SIM (Nano-SIM);1080 x 2388 pixels;Tần số quét 120Hz;Android 13;2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver;;;;;;;;;;
blackview a95;0.0;6.5 inches;IPS LCD;20 MP;8 MP;MediaTek Helio P70;Không;8 GB;128 GB;;;;Tần số quét 60 Hz;;;;;;;;;;;;
oppo reno9 z;0.0;6.5 inches;AMOLED;64 MP + 8 MP + 2 MP + 2 MP;32 MP;Snapdragon 778G;;8 GB;128 GB;5.000 mAh;;;Tần số quét 90 Hz;;;;;;;;;;;;
samsung galaxy a06;0.0;6.7 inches;PLS LCD;Chính 50 MP & Phụ 2 MP;8 MP;MediaTek Helio G85 8 nhân;Không;4 GB;64 GB;5000 mAh;2 Nano-SIM;720 x 1600 pixel;Tần số quét 60 HzĐộ sáng tối đa: 576 nits;Android 14;2 nhân 2.0 GHz & 6 nhân 1.8 GHz;Dài 167.3 mm - Ngang 77.3 mm - Dày 8 mm - Nặng 191 g;;Khung & Mặt lưng nhựa;;Mali-G57;;IP54;25 W;Mở khoá vân tay cạnh viền;MicroSD, hỗ trợ tối đa 1.5 TB
samsung galaxy a06;0.0;6.7 inches;PLS LCD;Chính 50 MP & Phụ 2 MP;8 MP;MediaTek Helio G85 8 nhân;Không;4 GB;64 GB;5000 mAh;2 Nano-SIM;720 x 1600 pixel;Tần số quét 60 HzĐộ sáng tối đa: 576 nits;Android 14;2 nhân 2.0 GHz & 6 nhân 1.8 GHz;Dài 167.3 mm - Ngang 77.3 mm - Dày 8 mm - Nặng 189 g;;Khung & Mặt lưng nhựa;;Mali-G52;;;25 W;Mở khoá vân tay cạnh viền;MicroSD, hỗ trợ tối đa 1 TB
vivo y200i;0.0;6.72 inches;LCD;Cảm biến chính 50MP Ống kính chân dung 2MP;8MP;Snapdragon 4 Gen 2;Không;12 GB;512 GB;6,000 mAh;;;Tần số quét 120Hz, 1,800 nits;Android 14;;;;;;;;;;;
realme gt 5;0.0;6.74 inches;AMOLED;"Camera góc rộng: 50 MP, f/1.9, 24mm, 1/1.56"", 1.0µm, PDAF, OISCamera góc siêu rộng: 8 MP, f/2.2, 16mm, 112˚, 1/4.0"", 1.12µmCamera macro: 2 MP, f/2.4";"Camera góc rộng: 16 MP, f/2.5, 25mm, 1/3.09"", 1.0µm";Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm);Có;;1 TB;4600 mAh;2 SIM (Nano-SIM);1240 x 2772 pixels;1 tỷ màu, tần số quét 144Hz, HDR10+, 1400 nits;Android 13;1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510;;;;;;;;;;
huawei enjoy 60 pro;0.0;6.8 inches;;Cảm biến chính: 50MPCảm biến phụ: 2MP;8MP;Snadragpn 680;Không;8 GB;128 GB;5000 mAh;;1080 x 2388 pixels;Tần số quét 90Hz;;;;;;;;;;;;
asus rog phone 6 mediatek;0.0;6.78 inches;AMOLED;Camera chính: 50 MP,  f/1.9Camera góc siêu rộng: 13 MPCamera macro: 5 MP;12 MP;MediaTek Dimensity 7000 Series;Có;12 GB;256 GB;6000 mAh;2 SIM (Nano-SIM);1080 x 2448 pixels (FullHD+);Corning ® Gorilla ® Glass Victus, 165Hz, Độ sáng tối đa: 1200 nits, Mật độ điểm ảnh: 395 ppi;Android 12;;;;;;;;;;;
xiaomi redmi note 14 pro;0.0;"6.67"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>";AMOLED;32 MP;Chính 200 MP & Phụ 8 MP, 2 MP;MediaTek Helio G100-Ultra 8 nhân;;12 GB;512 GB;5500 mAh;2 Nano SIM (SIM 2 chung khe thẻ nhớ);Full HD+ (1080 x 2400 Pixels);;Xiaomi HyperOS (Android 14);;Dài 162.16 mm - Ngang 74.92 mm - Dày 8.24 mm - Nặng 180 g;;Khung & Mặt lưng nhựa;;Mali-G57 MC2;;IP64;45 W;Mở khoá vân tay dưới màn hình;MicroSD, hỗ trợ tối đa 1 TB
xiaomi redmi note 14 pro;0.0;"6.67"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>";AMOLED;20 MP;Chính 200 MP & Phụ 8 MP, 2 MP;MediaTek Dimensity 7300-Ultra 8 nhân;;12 GB;512 GB;5110 mAh;2 Nano SIM;1.5K (1220 x 2712 Pixels);;Xiaomi HyperOS (Android 14);;Dài 162.33 mm - Ngang 74.42 mm - Dày 8.4 mm (Đen, Xanh, Vàng) | 8.55 mm (Tím) - Nặng 190 g;;Khung kim loại & Mặt lưng nhựa (Đen, Xanh, Vàng) | Da nhân tạo (Tím);;Mali-G615 MC2;;IP68;45 W;Mở khoá vân tay dưới màn hình;
vivo iqoo z6;0.0;6.58 inches;IPS LCD;Camera góc rộng: 50 MP, f/1.8, 26mm, PDAF  Máy ảnh macro: 2 MP, f/2.4 Camera góc sâu: 2 MP, f/2.4;Camera góc rộng: 16 MP, f/2.0;Snapdragon 695 5G (6 nm);Không;4 GB;128 GB;5000 mAh;2 SIM (Nano-SIM);1080 x 2408 pixels;;Android 12;2x2,2 GHz Kryo 660 Gold & 6x1,7 GHz Kryo 660 Silver;;;;;;;;;;
tecno spark 50 pro;0.0;;;;;;;4 GB;128 GB;;;;;;;;;;;;;;;;
sony xperia x compact;0.0;4.6 inches;IPS LCD;"Camera góc rộng: 23 MP, f/2.0, 24mm, 1/2.3"", PDAF";5 MP;Snapdragon 650;Có;3 GB;32 GB;2700 mAh;Nano-SIM;720 x 1280 pixels;Kính cường lực Oleophobic (ion cường lực);Android 8.0;2 nhân 1.8 GHz & 4 nhân 1.44 GHz;;;;;;;;;;
nokia c12;0.0;6.3 inches;IPS LCD;8 MP;5 MP;Unisoc 9863A1;Không;2 GB;64 GB;3000mAh;2 SIM (Nano-SIM);720 x 1600 pixel;Độ sáng 480 nits  Kính cường lực Corning Gorilla Glass 3;Android 12;2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55;;;;;;;;;;
oneplus nord n30;0.0;6.72 inches;IPS LCD;"Camera góc rộng: 108 MP, f/1.8, 1/1.67"", 0.64µm, PDAF Camera macro: 2 MP, f/2.4Camera đo đậu sâu: 2 MP, f/2.4";Camera góc rộng: 16 MP, f/2.4, 1.0µm;Snapdragon 695 5G (6 nm);Có;8 GB;128 GB;5.000 mAh;Nano-SIM;1080 x 2400 pixels (FullHD+);Tốc độ làm mới 120 Hz, 550 nits, Corning Gorilla Glass;Android 13;2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver;;;;;;;;;;
realme 12 pro plus;0.0;6.7 inches;LTPO AMOLED;108 MP + 16 MP + 8 MP;32 MP;Snapdragon 8+ Gen 1;Có;8 GB;128 GB;5.000 mAh;;;Tần số quét 120 Hz;;;;;;;;;;;;
oppo a1;0.0;6.72 inches;IPS LCD;Camera góc rộng: 50 MP, f/1.8, AFCamera đo chiều sâu: 2 MP, f/2.4;Camera góc rộng: 8 MP, f/2.0;Qualcomm SM6375 Snapdragon 695 5G (6 nm);Không;8 GB;256 GB;5000 mA;2 SIM (Nano-SIM);1080 x 2400 pixels (FullHD+);Tần số quét 120Hz, 550 nits;Android 13;2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver;;;;;;;;;;
oppo reno12 f;0.0;6.7 inches;OLED;50MP + OIS  Camera góc rộng: 8MP Camera xóa phông: 2MP;32MP;Dimensity 6300 6nm;Có;12 GB;256 GB;5000 mAh;2 Nano SIM;1080 x 2040 Pixel;Tần số quét 120Hz;Android 14;;163.05 x 75.75 x 7.76 mm;187 g;Khung máy: Nhựa cao cấpMặt lưng máy: Kính cường lực;120 Hz;Mali-G57 MC2;MicroSD;IP64;;;
xiaomi redmi note 14 pro;0.0;"6.67"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>";AMOLED;32 MP;Chính 200 MP & Phụ 8 MP, 2 MP;MediaTek Helio G100-Ultra 8 nhân;;8 GB;256 GB;5500 mAh;2 Nano SIM (SIM 2 chung khe thẻ nhớ);Full HD+ (1080 x 2400 Pixels);;Xiaomi HyperOS (Android 14);;Dài 162.16 mm - Ngang 74.92 mm - Dày 8.24 mm - Nặng 180 g;;Khung & Mặt lưng nhựa;;Mali-G57 MC2;;IP64;45 W;Mở khoá vân tay dưới màn hình;MicroSD, hỗ trợ tối đa 1 TB
xiaomi redmi note 14 pro;0.0;"6.67"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>";AMOLED;20 MP;Chính 200 MP & Phụ 8 MP, 2 MP;MediaTek Dimensity 7300-Ultra 8 nhân;;8 GB;256 GB;5110 mAh;2 Nano SIM;1.5K (1220 x 2712 Pixels);;Xiaomi HyperOS (Android 14);;Dài 162.33 mm - Ngang 74.42 mm - Dày 8.4 mm (Đen, Xanh, Vàng) | 8.55 mm (Tím) - Nặng 190 g;;Khung kim loại & Mặt lưng nhựa (Đen, Xanh, Vàng) | Da nhân tạo (Tím);;Mali-G615 MC2;;IP68;45 W;Mở khoá vân tay dưới màn hình;
samsung a36;0.0;;;;;;;12 GB;256 GB;;;;;;;;;;;;;;;;
vivo y200 gt;0.0;6.78 inches;AMOLED;Cảm biến chính 50MP Ống kính chân dung 2MP;16MP;Snapdragon 7 Gen 3;Có;8 GB;128 GB;6,000 mAh;;;Độ phân giải 1.5KTốc độ làm mới 144Hz;Android 14;;;;;;;;;;;
poco f6;0.0;;;;;;Có;;;;;;;;;;;;;;;;;;
doogee v30 pro;0.0;6.58 inches;IPS LCD;Camera góc rộng: 200 MP, PDAFCamera nhìn đêm: 24 MP, f/1.8, 2 đèn hồng ngoại nhìn đêmCamera góc siêu rộng: 16 MP;"Camera góc rộng: 32 MP, f/1.8, 1/2.8"", 0.8µm";Mediatek MT6877V Dimensity 7050 (6 nm);Có;12 GB;512 GB;10800 mAh;2 SIM (Nano-SIM);1080 x 2408 pixels;Tần số quét 120Hz, 16,7 triệu màu, 401 PPICorning Gorilla Glass;Android 13;2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55;;;;;;;;;;
sony xperia 5 iv;0.0;6.1 inches;OLED;Camera góc rộng: 12MP, f/1.7, 1.8µm  Camera tele: 12MP, f/2.4, 60 mm, OIS  Camera góc siêu rộng: 12MP, f/2.2, 124˚, 16mm, PDAF;"Camera góc rộng: 12MP, f/2.0, 24mm, 1 / 2.9 "", 1.25µm";Qualcomm SM8450 Snapdragon 8 thế hệ 1 (4 nm);Có;8 GB;128 GB;5000 mAh;2 SIM (Nano-SIM);;OLED, 1B màu, 120Hz, HDR BT.2020;Android 12;1x3.00 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510;;;;;;;;;;
huawei nova 10 pro;0.0;6.78 inches;OLED;Camera góc rộng: 50 MP, f/1.8, 27mm, PDAF Camera siêu rộng: 8 MP, f/2.2, 112˚, AF Camera góc sâu: 2 MP, f/2.4;Camera dọc: 8 MP, f/2.2  Camera siêu rộng: 60 MP, f/2.4, 100˚, AF;Qualcomm SM7325 Snapdragon 778G 4G (6 nm);Có;8 GB;128 GB;4500 mAh;2 SIM (Nano-SIM);;OLED, 1B màu, HDR10, 120Hz;HarmonyOS 2.0;4x2,4 GHz Kryo 670 & 4x1,8 GHz Kryo 670;;;;;;;;;;
oneplus nord ce 4 lite;0.0;;;;;;Có;8 GB;256 GB;5,000 mAh;2 SIM (Nano-SIM);;;Android 13;;;;;;;;;;;
xiaomi 14 pro;0.0;6.73 inches;LTPO AMOLED;"Camera góc rộng: 50 MP, f/1.4-f/4.0, 23mm, 1/1.31"", 1.2µm, dual pixel PDAF, Laser AF, OISCamera tele: 50 MP, f/2.0, 75mm, PDAF (10cm - ∞), OIS, 3.2x optical zoomCamera góc siêu rộng: 50 MP, f/2.2, 14mm, 115˚, AF";Camera góc rộng: 32 MP;Qualcomm Snapdragon 8 Gen 3 (4 nm);Có;12 GB;512 GB;4880 mAh;2 Nano SIM hoặc 1 Nano + 1 eSIM;1440 x 3200 pixels (QHD+);Tần số quét 120Hz, 68 tỷ màu , Dolby Vision, HDR10+, 3000 nits (peak);Android 14;1x3.3 GHz Cortex-X4 & 5x3.2 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520;;;;;;;;;;
vivo t3x;0.0;6.72 inches;LCD;50MP, f/1.82MP;8MP;Snapdragon 6 Gen 1;Không;8 GB;256 GB;6,000 mAh;;;Tần số quét 120Hz, 1,000 nits;Android 14;;;;;;;;;;;
vivo y30;0.0;6.51 inches;IPS LCD;Camera chính:  50MP, f/1.8  2MP,  f / 2.4;8 MP, f/2.0;Media Tek Dimensity 700 5G;Không;6 GB;128 GB;5.000 mAh;2 SIM (Nano-SIM);1600 x 720 pixels (HD+);;FuntouchOS 12.0;;;;;;;;;;;
realme 9i;0.0;6.6 inches;IPS LCD;Camera góc rộng: 50 MP, f/1.8, PDAF  Camera macro: 2 MP, f/2.4 Camera góc sâu: 2 MP, f/2.4;Camera góc rộng: 8 MP, f/2.0;MediaTek MT6833P Mật độ 810 (6 nm);Không;4 GB;64 GB;5000 mAh,;2 SIM (Nano-SIM);1080 x 2412 pixels;90Hz;Android 12;2x2,4 GHz Cortex-A76 & 6x2,0 GHz Cortex-A55;;;;;;;;;;
realme v23;0.0;6.58 inches;IPS LCD;48 MP, f/1.8, (Rộng), PDAF2 MP, f/2.4, (depth);8 MP, f/2.0, 26mm (Rộng);MediaTek MT6833P Dimensity 810 (6 nm);;4 GB;128 GB;Li-Po 5000 mAh;2 SIM (Nano-SIM);1080 x 2408 pixels;;Android 12;Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);;;;;;;;;;
realme c55;0.0;;;;;;Không;8 GB;128 GB;;;;;;;;;;;;;;;;
masstel x9;0.0;5.5 inches;IPS LCD;8MP;5MP;SC9863 8 nhân;Không;2 GB;16 GB;2500 mAh;2 SIM (Nano-SIM);240 x 320 pixels;Mặt kính cong 2.5D;;1.6GHz;;;;;;;;;;
vivo s17e;0.0;6.78 inches;AMOLED;Camera góc rộng: 64 MP, f/1.79, PDAF, OIS Camera chiều sâu: 2 MP, f/2.4;Camera góc rộng: 16 MP, f/2.45;Mediatek Dimensity 7200 (4 nm);Có;8 GB;128 GB;4600 mAh;2 SIM (Nano-SIM);1080 x 2400 pixels (FullHD+);1 tỷ màu, tần số quét 120Hz, HDR10, 1300 nits;Android 13;2x2.8 GHz Cortex-A715 & 6x Cortex-A510;;;;;;;;;;
infinix hot 40;0.0;6.78 inches;IPS LCD;Camera góc rộng: 50 MP, f/1.6, AFCamera macro: 2 MP, f/2.4Camera phụ: 0.08 MP;Camera góc rộng: 32 MP, f/2.2;Mediatek MT6769H Helio G88 (12nm);Không;8 GB;128 GB;5000 mAh;2 SIM (Nano-SIM);1080x2460 pixels;Tần số quét 90Hz, 500 nits;Android 13;2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55;;;;;;;;;;
motorola moto g22;0.0;6.5 inches;IPS LCD;"Camera góc rộng: 50MP, f/1.8, 0.64µm, PDAF  Camera góc siêu rộng: 8MP, f/2.2, 118˚, 1/4.0"", 1.12µm  Camera macro: 2 MP, f/2.4 Camera đo độ sâu: 2MP, f/2.4";Camera góc rộng: 16MP, f/2.5, 1.0µm;Mediatek MT6765V/CB Helio G37 (12 nm);Có;4 GB;64 GB;5000 mAh;2 SIM (Nano-SIM);720 x 1600 pixel;Tần số quét 90Hz;Android 13;4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53;;;;;;;;;;
xiaomi civi 3;0.0;6.55 inches;AMOLED;"Camera góc rộng: 50 MP, f/1.77, 1/1.49"", 1.0µm, PDAF, OIS Camera góc siêu rộng: 8 MP, f/2.2, 115˚, 1.12µm  Camera macro: 2 MP, f/2.4";"Camera góc rộng: 32MP, f/2.0, 1/2.8"", 0.8µm, AF  Camera góc siêu rộng: 32 MP, 100˚, 1/2.8"", 0.8µm";Mediatek Dimensity 8200 (4 nm);Có;12 GB;256 GB;4500 mAh;2 SIM (Nano-SIM);1080 x 2400 pixels (FullHD+);Tần số quét 120 Hz  68tỷ màu, Dolby Vision, HDR10+, 1000 nits  Corning Gorilla Glass 5;Android 13;1x3.1 GHz Cortex-A78 & 3x3.0 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55;;;;;;;;;;
xiaomi redmi a4;0.0;6.71 inches;;;5MP;;;4 GB;128 GB;5000mAh;2 SIM (Nano-SIM);1650x720 pixels;;;;;;;;;;;;;
oppo a98;0.0;6.6 inches;AMOLED;48 MP + 2 MP;16 MP;Snapdragon 778G;;8 GB;128 GB;5,000 mAh;;;Tần số quét 120 Hz;Android 13;;;;;;;;;;;
xiaomi redmi 11 prime;0.0;6.58 inches;IPS LCD;Camera chính: 50MP, f/1.8  Camera góc sâu: 2MP, f/2.4;8 MP, f/2.2;MediaTek Dimensity 700;Không;4 GB;64 GB;Li-Po 5000 mAh;2 SIM (Nano-SIM);1080 x 2408 pixels;Kính cường lực Corning Gorilla Glass 3, 90Hz;Android 12;;;;;;;;;;;
infinix zero 30;0.0;6.78 inches;AMOLED;"Camera góc rộng: 108 MP, f/1.7, 1/1.67"", PDAF, OISCamera góc siêu rộng: 13 MP, f/2.2, 120˚2 MP, f/2.4";"Camera góc rộng: 50 MP, f/2.5, 1/2.76"", PDAF";Mediatek Dimensity 8020 (6 nm);Có;8 GB;256 GB;5000mAh;2 SIM (Nano-SIM);1080 x 2400 pixels (FullHD+);Tần số quét 144Hz, 1 tỷ màu, 950 nitsCorning Gorilla Glass 5;Android 13;4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55;;;;;;;;;;
vivo y22;0.0;6.44 inches;IPS LCD;;8 MP;;Không;4 GB;64 GB;5.000 mAh;;720 x 1600 pixel;;Android 12;;;;;;;;;;;
nokia hero;0.0;6.8 inches;Super AMOLED;200MP / 64MP / 32MP / 16MP;48MP;Qualcomm Snapdragon 898-equipped;;12 GB;256 GB;8000 mAh;2 SIM (Nano-SIM);3200 x 1440 pixel;;Android 13;;;;;;;;;;;
realme c67;0.0;6.72 inches;IPS LCD;Camera AI: 108MP, f/1.82MP, f/2.4;8 MP, f/2.05;Snapdragon 685 8 nhân;Không;8 GB;256 GB;5000 mAh;2 SIM (Nano-SIM);1080 x 2400 pixels (FullHD+);Tần số quét 90 Hz950 nitsMặt kính cảm ứng:;Kính cường lực Panda;Android 14;;;;;;;;;;
doogee s100 pro;0.0;6.58 inches;IPS LCD;"Camera góc rộng: 108 MP, f/1.8, 1/1.52"", 0.7µm, PDAF, OISCamera nhìn đêm: 20 MP, f/1.8, 2 đèn hồng ngoại nhìn đêmCamera góc siêu rộng: 16 MP, f/2.2, 130˚, AF";"Camera góc rộng: 32 MP, f/1.8, 1/2.8"", 0.8µm";Helio G99 Octa Core 2.2GHz 6nm;Có;12 GB;256 GB;22000 mAh;2 SIM (Nano-SIM);1080 x 2408 pixels;Tần số quét 120Hz, 16,7 triệu màu, 401 PPICorning Gorilla Glass;Android 12.0;2 x Cortex A78 2.2GHz + 6 x Cortex A55 2.0GHz;;;;;;;;;;
oppo reno9 pro plus;0.0;6.7 inches;AMOLED;Camera góc rộng: 50MP, f/1.8  Camera góc siêu rộng: 8 MP, f/2.2  Camera tele: 2 MP, f/2.4;32 MP,  f/2.4;MediaTek Dimensity 9000.;Có;12 GB;128 GB;4500 mAh;;;tần số quét 120 Hz;;;;;;;;;;;;
xiaomi redmi note 13;0.0;6.67 inches;OLED;108 MP + 2 MP;16 MP;Dimensity 6080;Không;8 GB;128 GB;5.000 mAh;;1080 x 2400 pixels (FullHD+);;;8 nhân gồm 2x2.4 GHz và 6x2.0 GHz;;;;;;;;;;
huawei p50 pocket s;0.0;;;;;Snapdragon 778G;Có;;256 GB;;;;Tần số quét 120 Hz;Harmony OS;;;;;;;;;;;
xiaomi poco c51;0.0;6.52 inches;;8MP;5MP;Helio G36;Không;3 GB;32 GB;5000mAh;;720 x 1600 pixel;;Android 12;;;;;;;;;;;
tcl 50se;0.0;6.78 inches;;Camera chính: 50MP, f/1.8, PDAFCamera độ sâu: 2MP, 1.75μm, FF;8MP, 1.12μm, FF;Mediatek Helio G88 (12nm);Có;6GB + Mở rộng 6GB;256 GB;5010 mAh;2 SIM (Nano-SIM);1080x2460 pixels;396PPI, Độ tương phản 1500: 1, Gam màu NTSC 96%, 450 nits, Hạn chế ánh sáng xanh Tần số quét 90Hz;Android 14;2xA75@ 2.0GHz+6xA55@ 1.8 GHz Octa-core;;;;;;;;;;
leitz phone 2;0.0;6.6 inches;OLED;47.2MP, f/1.9;12.6MP, f/2.3;Snapdragon®2  8 Gen 1;Có;12 GB;512 GB;5,000 mAh;;;Tốc độ làm mới 240Hz;Android 12;2.9 GHz + 1.7G Hz;;;;;;;;;;
xiaomi redmi note 13s;0.0;6.6 inches;Super AMOLED;50 MP + 8 MP;13 MP;MediaTek Dimensity 1200;;6 GB;128 GB;5.000 mAh;;;Tần số quét 120 Hz;;;;;;;;;;;;
samsung galaxy f54;0.0;6.7 inches;AMOLED;Camera góc rộng:108 MP, f/1.8, PDAF, OISCamera góc siêu rộng;;;;;;;;;;;;;;;;;;;;;
