Tên,Giá,Link,Kích thước màn hình,Công nghệ màn hình,Camera sau,Camera trước,Chipset,Công nghệ NFC,Bộ nhớ trong,Thẻ SIM,Hệ điều hành,Độ phân giải màn hình,Tính năng màn hình,Loại CPU,Dung lượng RAM,Pin,Tương thích,Cảm biến
Meizu 20 Pro,Giá Liên Hệ,https://cellphones.com.vn/meizu-20-pro.html,6.81 inches,LTPO OLED,"Camera góc rộng: 50 MP, f/1.9, PDAF, OISCamera góc siêu rộng: 50 MP, f/2.2, 129˚  Camera Tele: 50 MP f/1.9, PDAF, optical zoom","Camera góc rộng: 32 MP, f/2.5",Snapdragon 8 Gen 2 (4 nm),Có,128 GB,2 SIM (Nano-SIM),Flyme 10,1440 x 3200 pixels (QHD+),"Tần số quét 120Hz, HDR10+, 500 nits",1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510,12 GB,5000 mAh,,
Google Pixel 3 XL,Giá Liên Hệ,https://cellphones.com.vn/google-pixel-3-xl.html,6.3 inches,OLED,"Camera góc rộng: 12,2MP, f/1.8, 28mm, 1 / 2.55 "", 1.4µm, PDAF pixel kép, OIS","Camera góc rộng: 8MP, f/1.8, 28 mm, PDAF Camera góc: 8 MP, f/2.2, 19 mm (siêu rộng), không có AF",Qualcomm SDM845 Snapdragon 845 (10 nm),Có,64 GB,Nano-SIM + eSIM,Android 9.0,1440 x 2960 pixels (QHD+),Kính cường lực Corning Gorilla Glass 5  Màn hình luôn bật,"4x2,5 GHz Kryo 385 Gold & 4x1,6 GHz Kryo 385 Silver",4 GB,3430 mAh,,
Xiaomi Redmi Note 12T Pro,Giá Liên Hệ,https://cellphones.com.vn/xiaomi-redmi-note-12t-pro.html,6.6 inches,IPS LCD,"Camera góc rộng: 64 MP, f/1.8, 23mm, 1/2"", 0.7µm, PDAFCamera góc siêu rộng:  8 MP, 120˚Camera macro: 2 MP",16 MP,Mediatek Dimensity 8200 Ultra (4 nm),Có,128 GB,2 SIM (Nano-SIM),Android 13,1080x2460 pixels,"Tốc độ làm mới 144 Hz, 1 tỷ màu, HDR10, Dolby Vision, 650 nits",1x3.1 GHz Cortex-A78 & 3x3.0 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55,8 GB,5080 mAh,,
ZenFone 10,Giá Liên Hệ,https://cellphones.com.vn/asus-zenfone-10.html,6.3 inches,AMOLED,200 MP hỗ trợ OIS,16 MP,Snapdragon 8 Gen 2,Có,256 GB,,Android 13,,Tốc độ làm mới 120 Hz,,16 GB,5.000 mAh,,
Google Pixel 3,Giá Liên Hệ,https://cellphones.com.vn/google-pixel-3.html,5.5 inches,OLED,"Camera góc rộng: 12,2 MP, f/1.8, 28mm, 1 / 2.55 "", 1.4µm, PDAF pixel kép, OIS","Camera góc rộng: 8 MP, f/1.8, 28 mm, PDAF  Camera góc siêu rộng: 8 MP, f/2.2, 19 mm, không có AF",Qualcomm SDM845 Snapdragon 845 (10 nm),Có,64 GB,Nano-SIM + eSIM,"Android 9.0 (Pie), có thể nâng cấp lên Android 12",1080 x 2160 pixels (FullHD+),Kính cường lực Corning Gorilla Glass 5  Màn hình luôn bật,"4x2,5 GHz Kryo 385 Gold & 4x1,6 GHz Kryo 385 Silver",4 GB,2915 mAh,,
Xiaomi Redmi Note 14 Pro,Giá Liên Hệ,https://cellphones.com.vn/dien-thoai-xiaomi-redmi-note-14-pro.html,6.67 inches,AMOLED,"Chính 200 MP & Phụ 8 MP, 2 MP",32 MP,MediaTek Helio G100-Ultra 8 nhân,Có,256 GB,2 Nano-SIM,Xiaomi HyperOS (Android 14),1080 x 2400 pixels (FullHD+),"Tần số quét 120 Hz, 1800 nits, Kính cường lực Corning Gorilla Glass Victus 2",2 nhân 2.2 GHz & 6 nhân 2.0 GHz,8 GB,5500 mAh,,
Nothing Phone 3A Pro,Giá Liên Hệ,https://cellphones.com.vn/dien-thoai-nothing-phone-3a-pro.html,6.77 inches,AMOLED,"50MP, f/1.88, 1/1.56''8MP, f/2.2, 1/4''50MP, f/2.55, 1/1.953""","50MP, f/2.2, 1/2.76''",Qualcomm SM7635 Snapdragon 7s Gen 3 (4 nm),Có,256 GB,2 Nano-SIM,Nothing OS 3.1 (Based on Android 15),1080 x 2392 pixels,"120Hz, NTSC 105%, 387 ppi, 3000nit, 1.07 tỷ màu, DCI-P3 100%",,8 GB,5000mAh,,
Samsung Galaxy S24FE 5G 8GB 256GB,Giá Liên Hệ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-s24-fe-256gb.html,6.7 inches,Dynamic AMOLED 2X,"50.0 MP, f/1.8  + 12.0 MP, f/2.2 + 8.0 MP, f/2.4Zoom quang học 3x, chất lượng Zoom quang học 2x","10.0 MP, f/2.4",Exynos 2400e (4nm),Có,256 GB,SIM 1 + SIM 2 / SIM 1 + eSIM / 2 eSIM,Android,1080 x 2340 pixels (FullHD+),"120Hz, 16 triệu màu, 1900 nitsKính cường lực Corning® Gorilla® Glass Victus®+","10 nhân 3.1GHz, 2.9GHz, 2.6GHz, 1.95GHz",8 GB,4700 mAh,,
iQOO Neo 7 Pro,Giá Liên Hệ,https://cellphones.com.vn/vivo-iqoo-neo-7-pro.html,6.78 inches,AMOLED,50 MPCamera góc siêu rộng 8 MPCamera macro: 2 MP,16 MP,Qualcomm Snapdragon 8+ Gen 1,Không,256 GB,,Android 13,,Tần số quét màn hình 120 Hz.,GPU Adreno 730,8 GB,5.000 mAh,,
Realme GT Neo 5 SE,Giá Liên Hệ,https://cellphones.com.vn/realme-gt-neo-5-se.html,6.74 inches,OLED,"Camera góc rộng: 64 MP, f/1.8, 25mm, 1/2"", PDAFCamera góc siêu rộng: 8MP, f/2.2, 16mm, 112˚, 1/4.0"", 1.12µmKính hiển vi: 2MP, f/3.3","Camera góc rộng: 16MP, f/2.5, 25mm, 1/3.09"", 1.0µm",Snapdragon 7+ Gen 2 (4 nm),Có,256 GB,2 SIM (Nano-SIM),Android 13,1240 x 2772 pixels,"Tần số quét 144Hz, 1 tỷ màu, 1400 nits",1x2.91 GHz Cortex-A710 & 3x2.49 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510,8 GB,5500 mAh,,
OPPO Reno12 F 4G 8GB 256GB,Giá Liên Hệ,https://cellphones.com.vn/dien-thoai-oppo-reno-12f-4g.html,6.67 inches,AMOLED,Camera chính: 50MP; f/1.8; FOV 76°; ống kinh 5PGóc mở rộng: 8MP; f/2.2; FOV 112°; ống kính 5PMacro camera: 2MP; f/2.4; FOV 89°; ống kính 3P,32MP; f/2.4; FOV 82°; ống kính 5P lens,Qualcomm® KryoTM 685,,256 GB,2 Nano-SIM,Android 14,1080 x 2400 pixels (FullHD+),"Tỉ lệ màn hình  92.2%120HzChế độ sống động: độ phủ 100% DCI-P3 Chế độ bình thường: độ phủ 100% sRGB 16.7 triệu màu,  394PPI",8 nhân,8 GB,5000 mAh,,
Huawei Enjoy 60X,Giá Liên Hệ,https://cellphones.com.vn/huawei-enjoy-60x.html,6.95 inches,TFT LCD,"Camera góc rộng: 50 MP, 26mm, 1/1.8"", PDAFCamera đo độ sâu: 2 MP, f/2.4","Camera góc rộng: 8 MP, f/2.0",Snapdragon 680 4G (6 nm),Có,128 GB,2 SIM (Nano-SIM),HarmonyOS 3.0,1080 x 2376 pixels (FullHD+),Tần số quét 90Hz,4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver,8 GB,7000 mAh,,
Google Pixel 9 Pro Fold,Giá Liên Hệ,https://cellphones.com.vn/dien-thoai-google-pixel-9-pro-fold.html,8.0 inches,LTPO OLED,"Góc rộng: 48 MP, f/1.7, 25mm, 1/2.0"", 0.8µm, dual pixel PDAF, OISCamera tele: 10.8 MP, f/3.1, 112mm , 1/3.2"", dual pixel PDAF, OIS, 5x optical zoomGóc siêu rộng: 10.5 MP, f/2.2, 127˚, 1/3.4"", PDAF","Màn trong: 10 MP, f/2.2, 23mm (góc rộng), 1/3.94"", PDAF Màn Ngoài: 10 MP, f/2.2, 23mm (góc rộng), 1/3.94"", PDAF",Google Tensor G4 (4 nm),Có,128 GB,2 SIM (nano‑SIM và eSIM),Android 14,1080 x 2412 pixels,"Màn chính: 8.0 inches, Foldable LTPO OLED, 120Hz, HDR10+, 1,800 nits (HBM), 1080 x 2424 OLED, 422 PPIMàn phụ: 6.3 inches, OLED, 120Hz, HDR, 1600 nits (HBM), 2076 x 2152, 373 PPI",,16 GB,4650 mAh,,
Xiaomi Redmi Note 14 Pro 8GB 128GB,Giá Liên Hệ,https://cellphones.com.vn/dien-thoai-xiaomi-redmi-note-14-pro-8gb-128gb.html,,,,,,,128 GB,,,,,,8 GB,,,
Google Pixel 6 Pro,Giá Liên Hệ,https://cellphones.com.vn/google-pixel-6-pro.html,6.7 inches,,"Camera góc rộng: 50MP, f/1.9, 25mm, Dual Pixel PDAF, Laser AF, OIS  Camera tele: 48MP, f/3.5, 104mm, 1/2"", 0.8µm, PDAF, OIS, zoom quang 4x  Camera siêu rộng: 12 MP, f/2.2, 17mm, 114˚, 1.25µm","Camera siêu rộng: 11.1 MP, f/2.2, 20mm, 1.22µm",Google Tensor (5 nm),Có,128 GB,Nano-SIM + eSIM,Android 12,1440 x 3120 pixels,Kính cường lực Corning Gorilla Glass Victus  Màn hình luôn bật,"2x2,80 GHz Cortex-X1 & 2x2,25 GHz Cortex-A76 & 4x1.80 GHz Cortex-A55",12 GB,5003 mAh,,
Xiaomi Redmi Note 14 8GB 128GB,Giá Liên Hệ,https://cellphones.com.vn/dien-thoai-xiaomi-redmi-note-14-8gb-128gb.html,,,,,,,128 GB,,,,,,8 GB,,,
Realme V30t,Giá Liên Hệ,https://cellphones.com.vn/realme-v30t.html,6.5 inches,IPS LCD,Camera chính: 13 MP  Camera macro: 2 MP,5 MP,Dimensity 700,Không,128 GB,,Android 12,,,,8 GB,5.000 mAh,,
ZTE Nubia Z50 Ultra,Giá Liên Hệ,https://cellphones.com.vn/zte-nubia-z50-ultra.html,6.8 inches,AMOLED,"Camera chính: 64MP, f/1.6, PDAF, Laser AF, OIS  Tele kính viễn vọng: 64MP, f/3.3, PDAF, OIS  Camera góc siêu rộng: 50 MP, f/2, 14mm, 116˚ , PDAF","Camera góc rộng: 50MP, f/2.X, 14mm, 116˚, PDAF",Snapdragon 8 Gen 2 (4 nm),Có,256 GB,2 SIM (Nano-SIM),Android 13,1116 x 2480 pixels,"1 tỷ màu, Tần số quét 120Hz, HDR10+, 1500 nits",1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510,8 GB,5000 mAh,,
vivo X100 Pro,Giá Liên Hệ,https://cellphones.com.vn/dien-thoai-vivo-x100-pro.html,6.78 inches,LTPO AMOLED,"Camera góc rộng: 50 MP, f/1.8,, PDAF, Laser AF, OIS Camera tele kính tiềm vọng: 50 MP, f/2.5, PDAF, OIS, zoom quang 4,3xCamera góc siêu rộng: 50 MP, f/2.0, 119˚","Camera góc rộng: 32 MP, f/2.0",Mediatek Dimensity 9300 (4 nm),Có,256 GB,2 SIM (Nano-SIM),Android 14,,"Tần số quét 120Hz,1B colors, 3000 nits",1x3.25 GHz Cortex-X4 & 3x2.85 GHz Cortex-X4 & 4x2.0 GHz Cortex-A720,12 GB,5400 mAh,,
OPPO Reno 11 A,Giá Liên Hệ,https://cellphones.com.vn/dien-thoai-oppo-reno-11-a.html,,,,,,,256 GB,,Android 14,,,,12 GB,5000mAh,,
Samsung Galaxy A55 5G 12GB 256GB,Giá Liên Hệ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-a55-5g-12gb-256gb.html,6.6 inches,Super AMOLED,Camera chính: 50 MP OIS+HDR  Camera góc rộng: 12MP Camera macro: 5MP,32 MP,Exynos 1480 4nm 2.4GHz,Có,256 GB,2 SIM (Nano-SIM),Android 14,1080 x 2400 pixels (FullHD+),"Tần số quét 120Hz, 1000nits96% DCI-P3, 1000 nits, Gorilla Glass 7+",4 nhân 2.7 GHz & 4 nhân 2.0 GHz,12 GB,5000 mAh,,
Redmi Note 12T Pro,Giá Liên Hệ,https://cellphones.com.vn/redmi-note-12t-pro-64076.html,6.6 inches,IPS LCD,"Camera góc rộng: 64 MP, f/1.8, 23mm, 1/2"", 0.7µm, PDAFCamera góc siêu rộng:8 MP, 120˚Camera macro: 2 MP",16 MP,Mediatek Dimensity 8200 Ultra (4 nm),Có,128 GB,2 SIM (Nano-SIM),Android 13,1080x2460 pixels,"Tốc độ làm mới 144 Hz, 1 tỷ màu, HDR10, Dolby Vision, 650 nits",1x3.1 GHz Cortex-A78 & 3x3.0 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55,8 GB,5080 mAh,,
OPPO A2,Giá Liên Hệ,https://cellphones.com.vn/oppo-a2.html,6.72 inches,IPS LCD,"Camera chính: 50 MP, f/1.8, PDAFCamera đo độ sâu: 2 MP, f/2.4","Camera gốc rộng: 8 MP, f/2.0",Mediatek Dimensity 6020 (7 nm),Không,256 GB,2 SIM (Nano-SIM),Android 13,1080 x 2400 pixels (FullHD+),"Tần số quét 90Hz, 680 nits",2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55,12 GB,5000 mAh,,
Xiaomi Redmi Note 14S,Giá Liên Hệ,https://cellphones.com.vn/dien-thoai-xiaomi-redmi-note-14s.html,6.67 inches,AMOLED,"Camera góc rộng: 200 MP, f/1.7Camera góc siêu rộng: 8 MP, f/2.2Camera macro: 2 MP, f/2.4","16 MP, f/2.4",Mediatek Helio G99 Ultra,Có,128 GB,2 Nano-SIM,"Android 15, HyperOS",1080 x 2400 pixels (FullHD+),"1B colors, 120Hz, 500 nits (typ), 1000 nits (HBM), 1300 nits (peak), Corning Gorilla Glass 5",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),8 GB,5000 mAh,,
Honor 90 Pro,Giá Liên Hệ,https://cellphones.com.vn/honor-90-pro.html,6.78 inches,AMOLED,"Camera góc rộng: 200 MP, f/1.9, 1/1.4"", 0.56µm, PDAFCamera chụp xa: 32 MP, f/2.4, PDAF, OIS, 2.5x optical zoomCamera góc siêu rộng: 12 MP, f/2.2, 112˚, AF","Camera góc siêu rộng: 50 MP, f/2.4, 100˚Camera đo chiều sâu: 2 MP, f/2.4",Snapdragon 8+ Gen 1 (4 nm),Có,256 GB,2 SIM (Nano-SIM),Android 13,,"1 tỷ màu, tần số quét 120Hz, 1600 nits, HDR",1x3.0 GHz Cortex-X2 & 3x2.5 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510,12 GB,5000 mAh,,
HONOR 600 5G 8GB 256GB,Giá Liên Hệ,https://cellphones.com.vn/dien-thoai-honor-600.html,6.57 inches,,,,,,,,,,,,,Khoảng 9.000 mAh,,
OPPO A2x,Giá Liên Hệ,https://cellphones.com.vn/oppo-a2x.html,6.56 inches,IPS LCD,"Camera chính: 13 MP: ƒ/2.2, hỗ trợ lấy nét tự động AF, sử dụng động cơ lấy nét vòng hở","5 MP, ƒ/2.2",MediaTek Dimensity 6020 8 nhân,Không,128 GB,2 SIM (Nano-SIM),Android 13,720 x 1612 (HD+),"16,7 triệu màu, hỗ trợ gam màu rộng (P3), Độ sáng tối đa 720 nits Tần số quét 90Hz",,6 GB,"5,000 mAh",,
Google Pixel 6a,Giá Liên Hệ,https://cellphones.com.vn/google-pixel-6-a.html,6.1 inches,OLED,"Camera góc rộng: 12,2MP, f/1.7, 27mm, 1 / 2.55 "", 1.4µm, PDAF pixel kép, OIS  Camera góc siêu rộng: 12MP, f/2.2, 17mm, 114˚, 1.25µm","Camera góc rộng: 8MP, f/2.0, 24mm, 1.12µm",Google Tensor (5 nm),Có,128 GB,Nano-SIM + eSIM,Android 12,1080 x 2400 pixels (FullHD+),Kính cường lực Corning Gorilla Glass 3  Màn hình luôn bật,"2x2,80 GHz Cortex-X1 & 2x2,25 GHz Cortex-A76 & 4x1.80 GHz Cortex-A55",6 GB,4410 mAh,,
Huawei Nova Y91,Giá Liên Hệ,https://cellphones.com.vn/huawei-nova-y91.html,6.95 inches,,"Camera chính: 50 MP, f/1.8Camera đo độ sâu: 2 MP, f/2.4","8MP, f/2.0",Qualcomm Snapdragon™ 680,Không,128 GB,2 SIM (Nano-SIM),EMUI 13,1080 x 2376 pixels (FullHD+),"Tần số quét 90Hz 16,7 triệu màu",4 × Cortex-A73 Based 2.4 GHz + 4 × Cortex-A53 Based 1.9 GHz,8 GB,7000 mAh,,
Asus Rog Phone 8 ultimate,Giá Liên Hệ,https://cellphones.com.vn/asus-rog-phone-8-ultimate.html,6.81 inches,AMOLED,Độ phân giải 64 MP + 13 MP + 5 MP + 2 MP,24 MP,Snapdragon 8+ Gen 2,,512 GB,,,1080 x 2400 pixels (FullHD+),Tần số quét 120 Hz,,16 GB,6.000 mAh,,
Motorola Moto G73,Giá Liên Hệ,https://cellphones.com.vn/motorola-moto-g73.html,6.5 inches,IPS LCD,"Camera góc rộng: 50MP, f/1.8, 1.0µm, PDAF  Camera góc siêu rộng: 8 MP, f/2.2, 118˚, 1.12µm, AF","Camera góc rộng: 16MP, f/2.4, 1.0µm",Mediatek Dimensity 930 (6 nm),Có,256 GB,2 SIM (Nano-SIM),Android 13,1080 x 2400 pixels (FullHD+),Tần số quét 120Hz,2x2.2 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55,8 GB,5000  mAh,,
Samsung A06 5G 4GB-64GB,Giá Liên Hệ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-a06-4gb-64gb.html,,,,,,,64 GB,,,,,,4 GB,,,
Vivo V27,Giá Liên Hệ,https://cellphones.com.vn/vivo-v27.html,6.78 inches,AMOLED,"Camera góc rộng: 64MP, f/1.8, 0.7µm, PDAF, OIS Camera góc siêu rộng: 8MP, f/2.2, 16mm, 120˚, 1/4"", 1.12µm  Camera macro: 2MP, f/2.4","Camera góc rộng: 50MP, f/2.5, AF",,Có,128 GB,2 SIM (Nano-SIM),Android 13,1080 x 2400 pixels (FullHD+),"Tần số quét 120Hz, HDR10+",,8 GB,4600 mAh,,
Xiaomi POCO C65,Giá Liên Hệ,https://cellphones.com.vn/xiaomi-poco-c65.html,6.74 inches,IPS LCD,"Camera chính: 50MP, f/1.8Camera macro: 2MP, f/2.4","8MP, f/2.0",MediaTek Helio G85 processor,Có,128 GB,2 SIM (Nano-SIM),MIUI 14,1600 x 720 pixels (HD+),"450 nits, tần số quét 90HzDC dimming",Arm Cortex-A75 @ 2.0GHzArm Cortex-A55 @ 1.8GHz,6 GB,5000 mAh,,
OPPO A1 Pro,Giá Liên Hệ,https://cellphones.com.vn/oppo-a1-pro.html,6.7 inches,AMOLED,"Camera góc rộng: 108 MP, PDAF  Camera độ sâu: 2 MP, f/2.4",Camera góc rộng: 16 MP,Qualcomm SM6375 Snapdragon 695 5G (6nm),Có,128 GB,2 SIM (Nano-SIM),Android 12,1080 x 2400 pixels (FullHD+),Tần số quét 120Hz,"2x2,2 GHz Kryo 660 Vàng & 6x1,7 GHz Kryo 660 Bạc",6 GB,"5,000 mAh",,
Nokia 150,Giá Liên Hệ,https://cellphones.com.vn/nokia-150.html,2.4 inches,,VGA Camera,,,,4MB,Mini-SIM,S30+,,Độ phân giải:QVGA,MTK,4MB,1.020 mAhTháo ráp,,
Honor 80 GT,Giá Liên Hệ,https://cellphones.com.vn/honor-80-gt.html,6.66 inches,AMOLED,"Camera góc rộng: 54MP, f/1.9, 1/1.49"", PDAF  Camera góc siêu rộng: 8 MP, f/2.2 Camera macro: 2 MP, f/2.4","Camera góc rộng: 16 MP, f/2.4",Snapdragon 8+ Gen 1 (4 nm),Có,256 GB,2 SIM (Nano-SIM),Android 12,1080 x 2400 pixels (FullHD+),"1 tỷ màu, Tần số quét 120Hz, HDR10, 1400 nits (peak)",(1x3.0 GHz Cortex-X2 & 3x2.5 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510,12 GB,4800 mAh,,
Google Pixel 2,Giá Liên Hệ,https://cellphones.com.vn/google-pixel-2.html,5.0 inches,AMOLED,"Camera góc rộng: 12,2MP, f/1.8, 27mm, 1 / 2.55 "", 1.4µm, PDAF pixel kép, Laser AF, OIS","Camera góc rộng: 8MP, f/2.4, 27mm, 1 / 3.2 "", 1.4µm",Qualcomm MSM8998 Snapdragon 835 (10 nm),Có,64 GB,Nano-SIM + eSIM,Android 8.0,1080 x 1920 pixels (FullHD),Kính cường lực Corning Gorilla Glass 5  Màn hình luôn bật,"4x2,35 GHz Kryo & 4x1,9 GHz Kryo",4 GB,2700 mAh,,
vivo Y36 8GB 256GB,Giá Liên Hệ,https://cellphones.com.vn/dien-thoai-vivo-y36-8gb-256gb-79124.html,6.64 inches,IPS LCD,"Camera chính: 50 MP, f/1.8  Camera phụ: 2 MP, f/2.4","16 MP, f/2.45",Snapdragon 680 8 nhân,Không,256 GB,2 SIM (Nano-SIM),Android 13,1080 x 2388 pixels,"Tần số quét 90 Hz, 650 nits",4 nhân 2.4 GHz & 4 nhân 1.9 GHz,8 GB,5.000 mAh,,
Xiaomi Redmi A5 4G,Giá Liên Hệ,https://cellphones.com.vn/dien-thoai-xiaomi-redmi-a5-4g.html,6.88 inches,IPS LCD,"32 MP, f/2.0","8 MP, f/2.0",Unisoc T7250 (12 nm),Không,64 GB,2 Nano-SIM,Android 15,720 x 1640 pixels,"120Hz, 450 nits (typ), 260 ppi",Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),3 GB,5200 mAh,,
Xiaomi Redmi K70e,Giá Liên Hệ,https://cellphones.com.vn/xiaomi-redmi-k70e.html,6.67 inches,OLED,"Camera góc rộng: 50 MP, PDAF, OIS Camera góc siêu rộng: 8 MP, 120˚  Camera macro: 2 MP, f/2.4","Camera góc rộng: 20 MP,  HDR",Mediatek Dimensity 8300 (4 nm),Có,128 GB,2 SIM (Nano-SIM),"Android 13, MIUI 14",1440 x 3200 pixels (QHD+),"16 triệu màu, tần số quét 120Hz, Dolby Vision, HDR10+, 1200 nits (tối đa), tỷ lệ 20:9 Corning Gorilla Glass Victus",8 nhân (1x3.1 GHz & 3x3.0 GHz & 4x2.0 GHz),8 GB,5500 mAh,,
Nothing Phone 1,Giá Liên Hệ,https://cellphones.com.vn/nothing-phone-1.html,6.55 inches,OLED,50 MP + 50 MP,16 MP,Qualcomm Snapdragon 778G+ 5G (6 nm),Có,128 GB,,Android 12,1080 x 2400 pixels (FullHD+),Tần số quét 120HzGorilla Glass 5,1x2.5 GHz Cortex-A78 & 3x2.4 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55,8 GB,4.500 mAh,,
Vivo V7,Giá Liên Hệ,https://cellphones.com.vn/vivo-v7.html,5.7 inches,IPS LCD,"16 MP, f/2.0, 1/3.0"", 1.0µm, PDAF","Camera góc rộng: 24 MP, f/2.0, 26mm, 1/2.8"", 0.9µm",Qualcomm SDM450 Snapdragon 450 (14 nm),Không,32 GB,2 SIM (Nano-SIM),Android 7.1.2,720 x 1440 pixels,,Octa-core 1.8 GHz Cortex-A53,4 GB,3000 mAh,,
Vivo V9,Giá Liên Hệ,https://cellphones.com.vn/vivo-v9.html,6.3 inches,IPS LCD,"Camera góc rộng: 16 MP, f/2.0, PDAFCamera đo độ sâu: 5 MP, f/2.4","Camera góc rộng: 24 MP, f/2.0, 26mm, 1/2.8"", 0.9µm",Qualcomm MSM8953-Pro Snapdragon 626 (14 nm),Không,64 GB,2 SIM (Nano-SIM),Android 8.1,1080 x 2280 pixels (FullHD+),Tốc độ làm mới 90 Hz,Octa-core 2.2 GHz Cortex-A53,4 GB,3260 mAh,,
Vivo Nex 3,Giá Liên Hệ,https://cellphones.com.vn/vivo-nex-3.html,6.89 inches,Super AMOLED,"Camera góc rộng: 64 MP, f/1.8, 26mm, 1/1.72"", 0.8µm, PDAFCamera tele: 13 MP, f/2.5, 52mm, PDAF, 2x optical zoomCamera góc siêu rộng: 13 MP, f/2.2, 13mm, PDAF","Camera góc rộng: 16 MP, f/2.1, 26mm, 1/3.06"", 1.0µm",Qualcomm SM8150 Snapdragon 855+ (7 nm),Có,256 GB,2 SIM (Nano-SIM),Android 9.0,1080 x 2256 pixels,HDR10Mặt kính cong 2.5D,1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.8 GHz Kryo 485,8 GB,4500 mAh,,
Nubia Red Magic 10,Giá Liên Hệ,https://cellphones.com.vn/dien-thoai-nubia-red-magic-10.html,,,,,,,256 GB,,,1116 x 2480 pixels,,,8 GB,,,
Infinix Note 30 Pro,Giá Liên Hệ,https://cellphones.com.vn/infinix-note-30-pro.html,6.78 inches,AMOLED,"Camera góc rộng: 108 MP, PDAF Camera đo độ sâu: 2 MP, f/2.4","Camera góc rộng: 16 MP, f/2.0",Mediatek Helio G99 (6nm),Có,256 GB,2 SIM (Nano-SIM),Android 13,1080x2460 pixels,"Tần số quét 120Hz, 900 nits, 1 tỷ màu",2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55,8GB + Mở rộng 8GB,5.000 mAh,,
Google Pixel 5a,Giá Liên Hệ,https://cellphones.com.vn/google-pixel-5-a.html,,OLED,"Camera góc rộng: 12,2MP, f/1,7, 27mm, 1 / 2,55"", 1,4µm, PDAF pixel kép, OIS  Camera góc cực rộng: 16 MP, f/2.2, 119˚, 1,0µm","Camera góc rộng: 8MP, f/2.0, 24mm, 1.12µm",Qualcomm SM7250 Snapdragon 765G 5G (7 nm),Có,128 GB,Nano-SIM + eSIM,Android 11,1080 x 2400 pixels (FullHD+),Kính cường lực Corning Gorilla Glass 3  Màn hình luôn bật,"1x2,4 GHz Kryo 475 Prime & 1x2,2 GHz Kryo 475 Gold & 6x1,8 GHz Kryo 475 Silver",6 GB,4680 mAh,,
OPPO A1x,Giá Liên Hệ,https://cellphones.com.vn/oppo-a1x.html,6.56 inches,IPS LCD,"Camera góc rộng: 13 MP, f/2.2, 25mm, PDAFCamera đo độ sâu: 2 MP, f/2.4","Camera góc rộng: 8 MP, f/2.2, 27mm",Mediatek Dimensity 700 (7 nm),Không,128 GB,2 SIM (Nano-SIM),Android 12,720 x 1612 (HD+),"Tần số quét 90Hz, 480 nits",2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55,6 GB,5000 mAh,,
Xiaomi Redmi Note 12R Pro,Giá Liên Hệ,https://cellphones.com.vn/xiaomi-redmi-note-12r-pro.html,6.67 inches,AMOLED,"Camera góc rộng: 48 MP, 0.8µm, PDAFCamera đo độ sâu: 2 MP, f/2.4","Camera góc rộng: 8 MP, f/2.0, 1/4"", 1.12µm",Snapdragon 4 Gen 1,Không,256 GB,2 SIM (Nano-SIM),Android 13,1080 x 2400 pixels (FullHD+),Tần số quét 120Hz,,12 GB,5000 mAh,,
Xiaomi 14T Pro 8GB 256GB,Giá Liên Hệ,https://cellphones.com.vn/xiaomi-14t-pro-8gb-256gb.html,6.73 inches,AMOLED,108 MP + 48 MP + 20 MP + 8 MP,44 MP,Snapdragon 8+ Gen 2,,256 GB,,,1080 x 2400 pixels (FullHD+),Tần số quét màn hình 120 Hz,,8 GB,5.500 mAh,,
