name,price,link,Hệ điều hành,Chip xử lý (CPU),Tốc độ CPU,Chip đồ họa (GPU),RAM,Dung lượng lưu trữ,Dung lượng còn lại (khả dụng) khoảng,Danh bạ,Độ phân giải camera sau,Quay phim camera sau,Đèn Flash camera sau,Tính năng camera sau,Độ phân giải camera trước,Tính năng camera trước,Công nghệ màn hình,Độ phân giải màn hình,Màn hình rộng,Độ sáng tối đa,Mặt kính cảm ứng,Dung lượng pin,Loại pin,Hỗ trợ sạc tối đa,Công nghệ pin,Bảo mật nâng cao,Tính năng đặc biệt,"Kháng nước, bụi",Ghi âm,Xem phim,Mạng di động,SIM,Wifi,GPS,Bluetooth,Cổng kết nối/sạc,Jack tai nghe,Kết nối khác,Thiết kế,Chất liệu,"Kích thước, khối lượng",Thời điểm ra mắt,Hãng,description,brand,sku,mpn,price_json,currency,Sạc kèm theo máy,Nghe nhạc,Radio,Thẻ nhớ,Đèn pin
Điện thoại iPhone 16 Pro Max 256GB,31.590.000₫,https://www.thegioididong.com/dtdd/iphone-16-pro-max,iOS 18,Apple A18 Pro 6 nhân,Hãng không công bố,Apple GPU 6 nhân,8 GB,256 GB,241 GB,Không giới hạn,"Chính 48 MP & Phụ 48 MP, 12 MP",HD 720p@30fps,Có,Ảnh Raw,12 MP,Smart HDR 5,OLED,Super Retina XDR (1320 x 2868 Pixels),"6.9"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",2000 nits,Kính cường lực Ceramic Shield,33 giờ,Li-Ion,20 W,Tiết kiệm pin,Mở khoá khuôn mặt Face ID,Âm thanh Dolby Atmos,IP68,Ghi âm mặc định,MP4,Hỗ trợ 5G,1 Nano SIM & 1 eSIM,Wi-Fi MIMO,iBeacon,v5.3,Type-C,Type-C,NFC,Nguyên khối,Khung Titan & Mặt lưng kính cường lực,Dài 163 mm - Ngang 77.6 mm - Dày 8.25 mm - Nặng 227 g,09/2024,iPhone (Apple). <span class='parameter__manu'>Xem thông tin hãng</span>,"iPhone 16 Pro Max 256GB giá tốt, giảm ngay 4tr, thu cũ trợ giá đến 2tr, bảo hành chính hãng 1 năm, trả chậm 0% lãi suất, hư gì đổi nấy 12 tháng. Mua ngay!",['iPhone (Apple)'],329149,329149,31590000.0,VND,,MP3,,,
Điện thoại iPhone 17 256GB,24.890.000₫,https://www.thegioididong.com/dtdd/iphone-17,iOS 26,Apple A19 6 nhân,Hãng không công bố,Apple GPU 5 nhân,Hãng không công bố,256 GB,241 GB,Không giới hạn,Chính 48 MP & Phụ 48 MP,HD 720p@30fps,Có,Điều khiển camera (Camera Control),18 MP,Smart HDR 5,OLED,Super Retina XDR (1206 x 2622 Pixels),"6.3"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",3000 nits,Kính cường lực Ceramic Shield 2,30 giờ,Li-Ion,40 W,Tiết kiệm pin,Mở khoá khuôn mặt Face ID,Âm thanh Dolby Atmos,IP68,Ghi âm mặc định,MP4,Hỗ trợ 5G,1 Nano SIM & 1 eSIM,Wi-Fi MIMO,iBeacon,v6.0,Type-C,Type-C,NFC,Nguyên khối,Khung nhôm & Mặt lưng kính cường lực,Dài 149.6 mm - Ngang 71.5 mm - Dày 7.95 mm - Nặng 177 g,09/2025,iPhone (Apple). <span class='parameter__manu'>Xem thông tin hãng</span>,"Điện thoại iPhone 17 thường 256GB giá tốt, có màu xanh lam khói, trắng, thu cũ giảm đến 3tr, giảm thêm 2.5tr qua thẻ, trả chậm 0% lãi suất - trả trước từ 0đ. Mua ngay!",['iPhone (Apple)'],342667,342667,24890000.0,VND,,MP3,,,
Điện thoại Samsung Galaxy A07 4GB/64GB,2.690.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-a07-4gb-64gb?utm_flashsale=1,Android 15,MediaTek Helio G99,2 nhân 2.2 GHz & 6 nhân 2.0 GHz,Đang cập nhật,4 GB,64 GB,,Không giới hạn,Chính 50 MP & Phụ 2 MP,,Có,Zoom kỹ thuật số,8 MP,Xóa phông,PLS LCD,HD+ (720 x 1600 Pixels),"6.7"" - Tần số quét 90 Hz",480 nits,Kính cường lực Panda,5000 mAh,Li-Ion,25 W,Tiết kiệm pin,Mở khoá vân tay cạnh viền,,IP54,Ghi âm mặc định,WEBM,Hỗ trợ 4G,2 Nano SIM,Wi-Fi hotspot,QZSS,v5.3,Type-C,3.5 mm,,Nguyên khối,Khung & Mặt lưng nhựa,Dài 167.4 mm - Ngang 77.4 mm - Dày 7.6 mm - Nặng 184 g,08/2025,Samsung. <span class='parameter__manu'>Xem thông tin hãng</span>,"Mua điện thoại Samsung Galaxy A07 4GB/64GB giá tốt, chính hãng, tặng sạc nhanh 25W trị giá 540K, mua trả chậm 0% lãi suất - trả trước từ 0đ. Mua ngay!",['Samsung'],341802,341802,2690000.0,VND,,XMF,Có,"MicroSD, hỗ trợ tối đa 1.5 TB",
Điện thoại Xiaomi 17 5G 12GB/256GB,22.990.000₫,https://www.thegioididong.com/dtdd/xiaomi-17,Android 16,Qualcomm Snapdragon 8 Elite Gen 5 8 nhân,2 nhân 4.6 GHz & 6 nhân 3.62 GHz,Adreno 840,12 GB,256 GB,233 GB,Không giới hạn,"Chính 50 MP & Phụ 50 MP, 50 MP",HD 720p@30fps,Có,Trôi nhanh thời gian (Time Lapse),50 MP,Xóa phông,LTPO AMOLED,1.5K (1220 x 2656 Pixels),"6.3"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",3500 nits,Kính cường lực Xiaomi Shield 3.0,6330 mAh,Silicon-Carbon,100 W,Sạc không dây,Mở khoá vân tay dưới màn hình,Chạm 2 lần sáng màn hình,IP68,Ghi âm mặc định,MP4,Hỗ trợ 5G,2 Nano SIM,Wi-Fi 7,GPS,v6.0,Type-C,,OTG,Nguyên khối,Khung kim loại & Mặt lưng sợi thuỷ tinh,Dài 151.1 mm - Ngang 71.8 mm - Dày 8.06 mm - Nặng 191 g,02/2026,Xiaomi. <span class='parameter__manu'>Xem thông tin hãng</span>,"Mua Xiaomi 17 5G 12GB/256GB giá tốt, giảm ngay đến 8 triệu, trả chậm 0% lãi suất, thu cũ giảm đến 5 triệu, 6 tháng bảo hành đối với màn hình. Mua ngay!",['Xiaomi'],361269,361269,22990000.0,VND,100 W,OGG,Có,,
Điện thoại OPPO Reno15 Pro 5G 12GB/256GB,18.990.000₫,https://www.thegioididong.com/dtdd/oppo-reno15-pro-5g-12gb-256gb,ColorOS 16 (Android 16),MediaTek Dimensity 8450 5G 8 nhân,3.25 GHz,Mali-G720 MC7,12 GB,256 GB,221 GB,Không giới hạn,"Chính 200 MP & Phụ 50 MP, 50 MP",HD 720p@960fps,Có,Trôi nhanh thời gian (Time Lapse),50 MP,Toàn cảnh (Panorama),AMOLED,1.5K (1216 x 2649 Pixels),"6.32"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",1800 nits,Kính cường lực Corning Gorilla Glass 7i,6200 mAh,Li-Po,80 W,Sạc siêu nhanh SuperVOOC,Mở khoá vân tay dưới màn hình,Ứng dụng kép (Nhân bản ứng dụng),"IP66, IP68, IP69",Ghi âm mặc định,MP4,Hỗ trợ 5G,2 Nano SIM hoặc 1 Nano SIM + 1 eSIM,Wi-Fi 6,QZSS,v5.4,Type-C,Type-C,OTG,Nguyên khối,Khung hợp kim nhôm & Mặt lưng kính Panda,Dài 151.21 mm - Ngang 72.42 mm - Dày 8.13 mm (Xanh) | 7.99 mm (Nâu) - Nặng 188 g (Xanh) | 187 g (Nâu),01/2026,OPPO. <span class='parameter__manu'>Xem thông tin hãng</span>,"OPPO Reno15 Pro 5G 12GB/256GB giá tốt, nhận bộ quà đến 4tr, trả chậm 0% lãi suất, bảo hành 24 tháng, miễn phí 5G Viettel tốc độ cao 30GB/30 ngày. Mua ngay đến 31/01!",['OPPO'],360236,360236,18990000.0,VND,80 W,OGG,,,
Điện thoại realme 16 5G 8GB/256GB,11.090.000₫,https://www.thegioididong.com/dtdd/realme-16-5g-8gb-256gb,Android 16,MediaTek Dimensity 6400 Turbo 8 nhân,2 nhân 2.5 GHz & 6 nhân 2.0 GHz,Mali-G57 MC2,8 GB,256 GB,233 GB,Không giới hạn,Chính 50 MP & Phụ 2 MP,FullHD 1080p@30fps,Có,Trôi nhanh thời gian (Time Lapse),50 MP,Xóa phông,AMOLED,Full HD+ (1080 x 2372 Pixels),"6.57"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",4200 nits,Kính cường lực AGC DT-Star D+,7000 mAh,Li-Ion,60 W,Tiết kiệm pin,Mở khoá vân tay dưới màn hình,Tóm tắt bản ghi âm AI,"IP66, IP68, IP69, IP69K",Ghi âm mặc định,WEBM,Hỗ trợ 5G,2 Nano SIM hoặc 1 Nano SIM + 1 thẻ nhớ,Wi-Fi hotspot,QZSS,v5.3,Type-C,Type-C,OTG,Nguyên khối,Khung & Mặt lưng nhựa,Dài 158.3 mm - Ngang 75.13 mm - Dày 8.1 mm - Nặng 183 g,02/2026,realme. <span class='parameter__manu'>Xem thông tin hãng</span>,"realme 16 5G 8GB/256GB giá tốt, tặng bộ quà lên đến 4 triệu, tặng loa Bluetooth, tặng tai nghe realme Techlife Buds, trả chậm 0% lãi suất. Mua ngay đến 28/2!",['realme'],361703,361703,11490000.0,VND,60 W,WMA,,MicroSD,
Điện thoại HONOR X9d 5G 12GB/256GB,10.490.000₫,https://www.thegioididong.com/dtdd/honor-x9d-5g-12gb-256gb,Android 15,Snapdragon 6 Gen 4 8 nhân,"1 nhân 2.3 GHz, 3 nhân 2.2 GHz & 4 nhân 1.8 GHz",Adreno A810,12 GB,256 GB,236 GB,Không giới hạn,Chính 108 MP & Phụ 5 MP,4K 2160p@30fps,Có,Ảnh động (GIF),16 MP,Làm đẹp,AMOLED,1.5K (1200 x 2640 Pixels),"6.79"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",6000 nits,Kính cường lực Corning Gorilla Glass Victus 2,8300 mAh,Silicon-Carbon,66 W,Tiết kiệm pin,Mở khoá vân tay dưới màn hình,,"IP66, IP68, IP69, IP69K",Ghi âm mặc định,MP4,Hỗ trợ 5G,2 Nano SIM,Wi-Fi Direct,GPS,v5.2,Type-C,Type-C,OTG,Nguyên khối,Khung & Mặt lưng nhựa,Dài 161.9 mm - Ngang 76.1 mm - Dày 7.76 mm - Nặng 193 g,12/2025,HONOR. <span class='parameter__manu'>Xem thông tin hãng</span>,"Honor X9d 5G 12GB/256GB giá tốt, tặng gói HONOR Ultimate Care, giảm 1 triệu hoặc tặng PMH 1tr3 hoặc tặng loa Bluetooth, trả chậm 0% lãi suất. Mua ngay đến 15/12!",['HONOR'],358683,358683,10990000.0,VND,66 W,WAV,Có,,
Điện thoại Tecno Pova 7 8GB/256GB,4.990.000₫,https://www.thegioididong.com/dtdd/tecno-pova-7-8gb-256gb,Android 15,MediaTek Helio G100 Ultimate 8 nhân,4 nhân 2.5 GHz & 4 nhân 2.0 GHz,Mali-G615 MC2,8 GB,256 GB,232 GB,Không giới hạn,Chính 108 MP & Phụ 2 MP,FullHD 1080p@30fps,Có,Zoom quang học,8 MP,Làm đẹp,IPS LCD,Full HD+ (1080 x 2460 Pixels),"6.78"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",900 nits,Hãng không công bố,7000 mAh,Li-Po,45 W,Tiết kiệm pin,Mở khóa bằng vân tay,Ứng dụng kép (Nhân bản ứng dụng),IP64,Ghi âm mặc định,MP4,Hỗ trợ 4G,2 Nano SIM,Wi-Fi hotspot,GPS,v5.4,Type-C,3.5 mm,OTG,Nguyên khối,Khung & Mặt lưng nhựa cao cấp,Dài 168.6 mm - Ngang 76.6 mm - Dày 9.31 mm - Nặng 226 g,07/2025,,"Điện thoại Tecno Pova 7 8GB/256GB chính hãng tại TGDĐ giao nhanh, cà thẻ tại nhà, nhiều màu sắc lựa chọn. Bảo hành tại hơn 3000 điểm toàn quốc.",['Tecno'],362632,362632,4990000.0,VND,45 W,OGG,Có,"MicroSD, hỗ trợ tối đa 1 TB",
Điện thoại Motorola G57 Power 5G 8GB/128GB,6.690.000₫,https://www.thegioididong.com/dtdd/motorola-g57-power-5g-8gb-128gb,Android 16,Snapdragon 6s Gen 4 8 nhân,4 nhân 2.4 GHz & 4 nhân 1.8 GHz,Adreno A710,8 GB,128 GB,104 GB,Không giới hạn,Chính 50 MP & Phụ 8 MP,FullHD 1080p@30fps,Có,Trôi nhanh thời gian (Time Lapse),8 MP,Trôi nhanh thời gian (Time Lapse),IPS LCD,Full HD+ (1080 x 2400 Pixels),"6.72"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",1050 nits,Kính cường lực Corning Gorilla Glass 7i,7000 mAh,Silicon-Carbon,33 W,Tiết kiệm pin,Mở khoá vân tay cạnh viền,Độ bền chuẩn quân đội MIL-STD 810H,IP64,Ghi âm mặc định,WEBM,Hỗ trợ 5G,2 Nano SIM,Wi-Fi hotspot,QZSS,v5.1,Type-C,3.5 mm,NFC,Nguyên khối,Khung nhựa & Mặt lưng da thuần chay,Dài 166.2 mm - Ngang 76.5 mm - Dày 8.6 mm - Nặng 210.6 g,03/2026,,"Motorola Moto G57 Power 8GB/128GB giá tốt, giảm ngay 300K, trả góp 0% lãi suất, thu cũ giảm 500K, miễn phí gói cước Viettel 5G (2GB/ngày, chu kỳ 15 ngày). Mua ngay!",['Motorola'],362373,362373,6690000.0,VND,33 W,WAV,,,
Điện thoại iPhone 15 Plus 128GB,18.990.000₫,https://www.thegioididong.com/dtdd/iphone-15-plus,iOS 17,Apple A16 Bionic,3.46 GHz,Apple GPU 5 nhân,6 GB,128 GB,113 GB,Không giới hạn,Chính 48 MP & Phụ 12 MP,HD 720p@30fps,Có,Zoom quang học,12 MP,Smart HDR 5,OLED,Super Retina XDR (1290 x 2796 Pixels),"6.7"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid1' target='_blank'>60 Hz</a>",2000 nits,Kính cường lực Ceramic Shield,4383 mAh,Li-Ion,20 W,Tiết kiệm pin,Mở khoá khuôn mặt Face ID,Âm thanh Dolby Atmos,IP68,Ghi âm mặc định,H.264(MPEG4-AVC),Hỗ trợ 5G,1 Nano SIM & 1 eSIM,Wi-Fi MIMO,QZSS,v5.3,Type-C,Type-C,NFC,Nguyên khối,Khung nhôm & Mặt lưng kính cường lực,Dài 160.9 mm - Ngang 77.8 mm - Dày 7.8 mm - Nặng 201 g,09/2023,iPhone (Apple). <span class='parameter__manu'>Xem thông tin hãng</span>,"Mua điện thoại iPhone 15 Plus 128GB giá rẻ, giảm ngay 3.4tr, trả chậm 0% lãi suất, tặng phiếu mua hàng 500K, bảo hành 1 năm, đủ màu xanh, hồng, vàng, đen. Xem ngay!",['iPhone (Apple)'],303891,303891,18990000.0,VND,,MP3,,,
Điện thoại iPhone Air 256GB,24.990.000₫,https://www.thegioididong.com/dtdd/iphone-air,iOS 26,Apple A19 Pro 6 nhân,Hãng không công bố,Apple GPU 5 nhân,Hãng không công bố,256 GB,241 GB,Hãng không công bố,48 MP,HD 720p@30fps,Có,Điều khiển camera (Camera Control),18 MP,Smart HDR 5,OLED,Super Retina XDR (1260 x 2736 Pixels),"6.5"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",3000 nits,Kính cường lực Ceramic Shield 2,27 giờ,Li-Ion,20 W,Tiết kiệm pin,Mở khoá khuôn mặt Face ID,Âm thanh Dolby Atmos,IP68,Ghi âm mặc định,MP4,Hỗ trợ 5G,2 eSIM (hoạt động cùng lúc),Wi-Fi MIMO,iBeacon,v6.0,Type-C,Type-C,NFC,Nguyên khối,Khung Titan & Mặt lưng kính cường lực,Dài 156.2 mm - Ngang 74.7 mm - Dày 5.64 mm - Nặng 165 g,09/2025,iPhone (Apple). <span class='parameter__manu'>Xem thông tin hãng</span>,"Mua iPhone Air 256GB siêu mỏng nhẹ, giá tốt, trả chậm 0% lãi suất, thu cũ giảm đến 3 triệu, hư gì đổi nấy 12 tháng, bảo hành 1 năm chính hãng. Mua ngay!",['iPhone (Apple)'],342670,342670,24990000.0,VND,,MP3,,,
Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/256GB,27.490.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-s25-ultra,Android 15,Qualcomm Snapdragon 8 Elite For Galaxy 8 nhân,4.47 GHz,Adreno 830,12 GB,256 GB,222.7 GB,Không giới hạn,"Chính 200 MP & Phụ 50 MP, 50 MP, 10 MP",FullHD 1080p@240fps,Có,Ảnh Raw,12 MP,Xóa phông,Dynamic AMOLED 2X,2K+ (1440 x 3120 Pixels),"6.9"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",2600 nits,Kính cường lực Corning Gorilla Armor 2,5000 mAh,Li-Ion,45 W,Tiết kiệm pin,Mở khoá vân tay dưới màn hình,Trợ lý cuộc gọi,IP68,Ghi âm mặc định,WEBM,Hỗ trợ 5G,2 Nano SIM hoặc 2 eSIM hoặc 1 Nano SIM + 1 eSIM,Wi-Fi hotspot,QZSS,v5.4,Type-C,Type-C,NFC,Nguyên khối,Khung Titan & Mặt lưng kính cường lực,Dài 162.8 mm - Ngang 77.6 mm - Dày 8.2 mm - Nặng 218 g,01/2025,Samsung. <span class='parameter__manu'>Xem thông tin hãng</span>,"Mua Samsung Galaxy S25 Ultra 5G 12GB/256GB chính hãng, giá tốt, giảm ngay 6.6 triệu, tặng gói Google One AI Premium, trả chậm 0% lãi suất - trả trước 10%. Mua ngay!",['Samsung'],333347,333347,27490000.0,VND,,WAV,,,
Điện thoại Xiaomi 17 Ultra 5G Limited Leica 16GB/1TB,44.990.000₫,https://www.thegioididong.com/dtdd/xiaomi-17-ultra-limited-leica,Android 16,Qualcomm Snapdragon 8 Elite Gen 5 8 nhân,2 nhân 4.6 GHz & 6 nhân 3.62 GHz,Adreno 840,16 GB,1 TB,1011 GB,Không giới hạn,"Chính 200 MP & Phụ 50 MP, 50 MP",HD 720p@30fps,Có,Trôi nhanh thời gian (Time Lapse),50 MP,Xóa phông,LTPO AMOLED,1.5K (1220 x 2608 Pixels),"6.9"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",3500 nits,Kính cường lực Xiaomi Shield 3.0,6000 mAh,Silicon-Carbon,90 W,Sạc không dây,Mở khoá vân tay dưới màn hình,Chạm 2 lần sáng màn hình,IP68,Ghi âm mặc định,MP4,Hỗ trợ 5G,2 Nano SIM,Wi-Fi 7,GPS,v6.0,Type-C,,OTG,Nguyên khối,Khung kim loại & Mặt lưng sợi thuỷ tinh,Dài 162.9 mm - Ngang 77.6 mm - Dày 8.32 mm - Nặng 223.4 g,02/2026,Xiaomi. <span class='parameter__manu'>Xem thông tin hãng</span>,"Xiaomi 17 Ultra Limited Leica Edition 5G 16GB/1TB giá tốt, giảm đến 8 triệu, 6 tháng bảo hành đối với màn hình, 1 đổi 1 trong 2 năm, thu cũ giảm đến 5 triệu. Mua ngay!",['Xiaomi'],361312,361312,44990000.0,VND,100 W,OGG,Có,,
Điện thoại OPPO Reno15 F 5G 8GB/256GB,11.990.000₫,https://www.thegioididong.com/dtdd/oppo-reno15f-5g-8gb-256gb,ColorOS 16 (Android 16),Snapdragon 6 Gen 1 5G 8 nhân,2.2 GHz,Adreno 710,8 GB,256 GB,229 GB,Không giới hạn,"Chính 50 MP & Phụ 8 MP, 2 MP",HD 720p@240fps,Có,Trôi nhanh thời gian (Time Lapse),50 MP,Toàn cảnh (Panorama),AMOLED,Full HD+ (1080 x 2372 Pixels),"6.57"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",1400 nits,Kính cường lực AGC DT-Star D+,7000 mAh,Li-Po,80 W,Sạc siêu nhanh SuperVOOC,Mở khoá vân tay dưới màn hình,Ứng dụng kép (Nhân bản ứng dụng),"IP66, IP68, IP69",Ghi âm mặc định,MP4,Hỗ trợ 5G,2 Nano SIM hoặc 1 Nano SIM + 1 thẻ nhớ,Wi-Fi 5,QZSS,v5.1,Type-C,Type-C,OTG,Nguyên khối,Khung nhựa & Mặt lưng thủy tinh hữu cơ,"Dài 158.18 mm - Ngang 74.93 mm - Dày 8.27 mm (Xanh nhạt) | 8.14 mm (Hồng, Xanh dương) - Nặng 202 g (Xanh nhạt) | 195 g (Hồng, Xanh dương)",01/2026,OPPO. <span class='parameter__manu'>Xem thông tin hãng</span>,"OPPO Reno15F 5G 8GB/256GB giá tốt, tặng Loa Innoyo S2, thu cũ trợ giá đến 2tr, bảo hành 24 tháng, miễn phí 5G Viettel tốc độ cao 30GB/30 ngày. Mua ngay đến 31/01!",['OPPO'],360240,360240,11990000.0,VND,80 W,OGG,,"MicroSD, hỗ trợ tối đa 2 TB",
Điện thoại vivo X300 5G 12GB/256GB,21.490.000₫,https://www.thegioididong.com/dtdd/vivo-x300,Android 16,MediaTek Dimensity 9500 8 nhân,"1 nhân 4.21 GHz & 3 nhân 3.5 GHz, 4 nhân 2.7 GHz",Mali-G1 Ultra MP12,12 GB,256 GB,230 GB,Không giới hạn,"Chính 200 MP & Phụ 50 MP, 50 MP",4K 2160p@60fps,Có,Zoom quang học,50 MP,Xóa phông,LTPO AMOLED,1.5K (1216 x 2640 Pixels),"6.31 "" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",4500 nits,Đang cập nhật,6040 mAh,BlueVolt,90 W,Tiết kiệm pin,Mở khoá vân tay dưới màn hình,Đạt chuẩn chống va đập 5 sao SGS,IP68 & IP69,Ghi âm mặc định,WEBM,Hỗ trợ 5G,2 Nano SIM,Wi-Fi MIMO,QZSS,v6.0,Type-C,Type-C,OTG,Nguyên khối,Khung kim loại & Mặt lưng kính,Dài 150.57 mm - Ngang 71.92 mm - Dày 7.95 mm - Nặng 190 g,11/2025,vivo. <span class='parameter__manu'>Xem thông tin hãng</span>,"Mua vivo X300 12GB/256GB giá tốt, giảm đến 5 triệu, thu cũ trợ giá đến 2 triệu, bảo hành 24 tháng, bảo hiểm rơi vỡ 12 tháng, trả chậm 0% lãi suất. Mua ngay đến 30/11!",['vivo'],357861,357861,21490000.0,VND,90 W,WAV,,,
Điện thoại Honor X7d 5G 8GB/256GB,6.690.000₫,https://www.thegioididong.com/dtdd/honor-x7d-5g-8gb-256gb,Android 15,Snapdragon 6s Gen 3 8 nhân,Đang cập nhật,Đang cập nhật,8 GB,256 GB,220 GB,Không giới hạn,Chính 50 MP & Phụ 2 MP,FullHD 1080p@30fps,Có,Zoom kỹ thuật số,8 MP,Xóa phông,TFT LCD,HD+ (720 x 1610 Pixels),"6.77"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",850 nits,Kính cường lực HONOR,6500 mAh,Li-Ion,35 W,Tiết kiệm pin,Mở khoá vân tay cạnh viền,Đạt chuẩn chống va đập 5 sao SGS,IP64 & IP65,Ghi âm mặc định,WEBM,Hỗ trợ 5G,2 Nano SIM,Wi-Fi hotspot,GPS,v5.0,Type-C,Type-C,OTG,Nguyên khối,Khung & Mặt lưng nhựa,Dài 166.89 mm - Ngang 76.8 mm - Dày 8.24 mm - Nặng 208 g,10/2025,HONOR. <span class='parameter__manu'>Xem thông tin hãng</span>,"Điện thoại Honor X7d 5G 8GB/256GB giá tốt, giảm ngay 300K, 100 ngày đổi trả, bảo hành 24 tháng, trả chậm 0% lãi suất, thu cũ giảm đến 500K. Mua ngay đến 30/11!",['HONOR'],358026,358026,6690000.0,VND,35 W,WAV,Có,,
Điện thoại Tecno Spark 40C 4GB/128GB,2.590.000₫,https://www.thegioididong.com/dtdd/tecno-spark-40c-4gb-128gb,Android 15,MediaTek Helio G81 8 nhân,2 nhân 2.0 GHz & 6 nhân 1.8 GHz,Mali-G52,4 GB,128 GB,115 GB,Không giới hạn,13 MP,FullHD 1080p@30fps,Đèn LED kép,Làm đẹp,8 MP,Video hiển thị kép,LCD,HD+ (720 x 1600 Pixels),"6.67"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",700 nits,Kính cường lực Panda,6000 mAh,Li-Po,18 W,Tiết kiệm pin,Mở khoá vân tay cạnh viền,Mở rộng bộ nhớ RAM,IP64,Ghi âm mặc định,MP4,Hỗ trợ 4G,2 Nano SIM,Có,Có,Có,Type-C,3.5 mm,OTG,Nguyên khối,Khung & Mặt lưng nhựa,Dài 165.6 mm - Ngang 77 mm - Dày 8.37 mm - Nặng 193 g,08/2025,,"Điện thoại Tecno Spark 40C 4GB/128GB chính hãng tại TGDĐ giao nhanh, cà thẻ tại nhà, nhiều màu sắc lựa chọn. Bảo hành tại hơn 3000 điểm toàn quốc.",['Tecno'],359425,359425,2590000.0,VND,18 W,WAV,Có,"MicroSD, hỗ trợ tối đa 1 TB",
Điện thoại Motorola Signature 12GB/256GB,21.990.000₫,https://www.thegioididong.com/dtdd/motorola-signature-12gb-256gb,Android 16,Snapdragon 8 Gen 5 8 nhân,2 nhân 3.8 GHz & 6 nhân 3.32 GHz,Adreno 829,12 GB,256 GB,216 GB,Không giới hạn,"Chính 50 MP & Phụ 50 MP, 50 MP",FullHD 1080p@60fps,Có,Trôi nhanh thời gian (Time Lapse),50 MP,Trôi nhanh thời gian (Time Lapse),LTPO AMOLED,1.5K+ (1264 x 2780 Pixels),"6.8"" - Tần số quét 165 Hz",6200 nits,Kính cường lực Corning Gorilla Glass Victus 2,5200 mAh,Silicon-Carbon,90 W,Tiết kiệm pin,Mở khoá vân tay dưới màn hình,Độ bền chuẩn quân đội MIL-STD 810H,IP68 & IP69,Ghi âm mặc định,WEBM,Hỗ trợ 5G,2 Nano SIM,Wi-Fi hotspot,GPS,v6.0,Type-C,,NFC,Nguyên khối,Khung hợp kim nhôm chuẩn hàng không & Mặt lưng vải,Dài 162.1 mm - Ngang 76.4 mm - Dày 6.99 mm - Nặng 186 g,03/2026,,"Motorola Signature 12GB/256GB giá tốt, giảm ngay 1 triệu, thu cũ giảm 2 triệu, trả góp 0% lãi suất, miễn phí gói cước Viettel 5G (2GB/ngày, chu kỳ 15 ngày). Mua ngay!",['Motorola'],362375,362375,21990000.0,VND,90 W,WAV,,,
